S.No,School,Program Name,SEM,Code,Course,DATE& TIME,Evaluator Name,Strength,Batch Name
1,SOCS,B.Tech Computer Science and Engineering,I,MATH1059,Advanced Engineering Mathematics - 1,12.12.202310 AM - 01PM,Debashis Ghosh ,67,B1-B2
2,SOCS,B.Tech Computer Science and Engineering,I,MATH1059,Advanced Engineering Mathematics - 1,12.12.202310 AM - 01PM,Biplab Dhar,67,B3-B4
3,SOCS,B.Tech Computer Science and Engineering,I,MATH1059,Advanced Engineering Mathematics - 1,12.12.202310 AM - 01PM,Divya Ahluwalia,69,B5-B6
4,SOCS,B.Tech Computer Science and Engineering,I,MATH1059,Advanced Engineering Mathematics - 1,12.12.202310 AM - 01PM,Debashis Ghosh ,64,B7-B8
5,SOCS,B.Tech Computer Science and Engineering,I,MATH1059,Advanced Engineering Mathematics - 1,12.12.202310 AM - 01PM,Nitin Uniyal,67,B9-B10
6,SOCS,B.Tech Computer Science and Engineering,I,MATH1059,Advanced Engineering Mathematics - 1,12.12.202310 AM - 01PM,Divya Ahluwalia,68,B11-B12
7,SOCS,B.Tech Computer Science and Engineering,I,MATH1059,Advanced Engineering Mathematics - 1,12.12.202310 AM - 01PM,Anupam Bhandari,67,B13-B14
8,SOCS,B.Tech Computer Science and Engineering,I,MATH1059,Advanced Engineering Mathematics - 1,12.12.202310 AM - 01PM,Sourav Hossain,67,B15-B16
9,SOCS,B.Tech Computer Science and Engineering,I,MATH1059,Advanced Engineering Mathematics - 1,12.12.202310 AM - 01PM,Reshu Gupta,66,B17-B18
10,SOCS,B.Tech Computer Science and Engineering,I,MATH1059,Advanced Engineering Mathematics - 1,12.12.202310 AM - 01PM,Reshu Gupta,66,B19-B20
11,SOCS,B.Tech Computer Science and Engineering,I,MATH1059,Advanced Engineering Mathematics - 1,12.12.202310 AM - 01PM,Akmal Hussain,66,B21-B22
12,SOCS,B.Tech Computer Science and Engineering,I,MATH1059,Advanced Engineering Mathematics - 1,12.12.202310 AM - 01PM,Akmal Hussain,66,B23-B24
13,SOCS,B.Tech Computer Science and Engineering,I,MATH1059,Advanced Engineering Mathematics - 1,12.12.202310 AM - 01PM,Sourav Hossain,65,B25-B26
14,SOCS,B.Tech Computer Science and Engineering,I,MATH1059,Advanced Engineering Mathematics - 1,12.12.202310 AM - 01PM,Manisha Malik,64,B27-B28
